Fecha,Producto,Cantidad,TotalVenta,Cond.Pago,Cliente
2025-06-30 19:10:39,"SANDWICH TRIPLE DE J, Q Y SURTIDO",4.0,6800,EFECTIVO,Consumidor Final
2025-06-30 18:59:13,MILHOJAS / BROWNIE/ CUADRADO FR,1.0,7000,EFECTIVO,Consumidor Final
2025-06-30 18:57:31,RESTOBAR,1.0,33500,EFECTIVO,Consumidor Final
2025-06-30 18:52:25,RESTOBAR,1.0,26900,EFECTIVO,Consumidor Final
2025-06-30 18:49:30,COOKIE,2.0,14500,EFECTIVO,Consumidor Final
2025-06-30 18:48:30,MEDIALUNAS,3.0,9100,EFECTIVO,Consumidor Final
2025-06-30 18:47:01,CONFITURA X KG,0.19,11060,EFECTIVO,Consumidor Final
2025-06-30 18:36:14,RESTOBAR,1.0,6700,.DEBITO,Consumidor Final
2025-06-30 18:31:36,"SANDWICH TRIPLE DE J, Q Y SURTIDO",12.0,20400,EFECTIVO,Consumidor Final
2025-06-30 18:16:29,COOKIE,1.0,10400,EFECTIVO,Consumidor Final
2025-06-30 18:14:37,RESTOBAR,1.0,13600,.DEBITO,Consumidor Final
2025-06-30 18:14:12,MOSTRADOR ENSALADAS,1.0,9000,EFECTIVO,Consumidor Final
2025-06-30 18:12:52,ALMUERZO,1.0,11500,.DEBITO,Consumidor Final
2025-06-30 18:11:28,BUDIN VAINILLA,1.0,20900,.DEBITO,Consumidor Final
2025-06-30 18:09:16,FILO/FOSFORITO/ ROLL DE CANELA,3.0,12500,.DEBITO,Consumidor Final
2025-06-30 18:07:21,MEDIALUNAS,6.0,22400,.DEBITO,Consumidor Final
2025-06-30 18:04:38,GRISINES / SEMOLADAS,0.25,7500,EFECTIVO,Consumidor Final
2025-06-30 18:01:25,CONFITURA X KG,0.43,18220,.CREDITO,Consumidor Final
2025-06-30 17:58:20,CHIPA,0.25,12500,.DEBITO,Consumidor Final
2025-06-30 17:55:58,CHIPA,0.25,17900,EFECTIVO,Consumidor Final
2025-06-30 17:55:19,GRISINES / SEMOLADAS,0.25,7000,EFECTIVO,Consumidor Final
2025-06-30 17:51:10,GRISINES / SEMOLADAS,0.25,2500,.DEBITO,Consumidor Final
2025-06-30 17:50:45,GRISINES / SEMOLADAS,0.25,2500,.DEBITO,Consumidor Final
2025-06-30 17:49:12,MOSTRADOR TARTAS SALADA S/T,1.0,23000,.DEBITO,Consumidor Final
2025-06-30 17:47:01,RESTOBAR,1.0,29000,EFECTIVO,Consumidor Final
2025-06-30 17:45:29,TARTA CHICA DULCE HELADERA,1.0,12000,.DEBITO,Consumidor Final
2025-06-30 17:44:25,CHIPA,0.25,5000,.DEBITO,Consumidor Final
2025-06-30 17:40:06,CHIPA,0.25,16200,EFECTIVO,Consumidor Final
2025-06-30 17:36:56,CONFITURA X KG,0.2,4800,.DEBITO,Consumidor Final
2025-06-30 17:35:04,PASTEL GRANDE,2.0,13400,EFECTIVO,Consumidor Final
2025-06-30 17:31:24,CHIPA,0.16,6800,EFECTIVO,Consumidor Final
2025-06-30 17:22:40,PASTEL GRANDE,4.0,6400,EFECTIVO,Consumidor Final
2025-06-30 17:19:15,CONFITURA X KG,0.19,4560,.DEBITO,Consumidor Final
2025-06-30 17:17:52,FACTURAS SURTIDAS,12.0,10800,.DEBITO,Consumidor Final
2025-06-30 17:13:07,FACTURAS SURTIDAS,6.0,5400,.DEBITO,Consumidor Final
2025-06-30 17:05:20,SANDWICH CROISSANT GR J Y Q,1.0,5000,.DEBITO,Consumidor Final
2025-06-30 17:04:20,MILHOJAS / BROWNIE/ CUADRADO FR,1.0,25500,EFECTIVO,Consumidor Final
2025-06-30 17:03:52,MASAS SECAS / PALMERITAS,0.5,14000,EFECTIVO,Consumidor Final
2025-06-30 17:02:09,PAN DE MOLDE,1.0,6000,EFECTIVO,Consumidor Final
2025-06-30 17:00:22,ALMUERZO,2.0,20000,.DEBITO,Consumidor Final
2025-06-30 16:56:20,RESTOBAR,1.0,8000,EFECTIVO,Consumidor Final
2025-06-30 16:54:30,CONFITURA X KG,0.2,9300,EFECTIVO,Consumidor Final
2025-06-30 16:53:28,MEDIALUNAS,6.0,15400,EFECTIVO,Consumidor Final
2025-06-30 16:47:33,RESTOBAR,1.0,4200,EFECTIVO,Consumidor Final
2025-06-30 16:43:42,RESTOBAR,1.0,4300,EFECTIVO,Consumidor Final
2025-06-30 16:42:14,PASTEL GRANDE,4.0,6400,EFECTIVO,Consumidor Final
2025-06-30 16:40:49,FACTURAS SURTIDAS,6.0,33400,.DEBITO,Consumidor Final
2025-06-30 16:36:38,RESTOBAR,1.0,12000,.DEBITO,Consumidor Final
2025-06-30 16:32:13,BIZCOCHITOS/CRIOLLITOS,0.25,3500,.CREDITO,Consumidor Final
2025-06-30 16:28:24,CHIPA,0.13,13400,EFECTIVO,Consumidor Final
2025-06-30 16:25:21,SCON DE QUESO,1.0,2000,EFECTIVO,Consumidor Final
2025-06-30 16:22:59,BUDiN HAMBURGUES/ INGLES,1.0,15000,EFECTIVO,Consumidor Final
2025-06-30 16:21:59,SANDWICH CROISSANT GR J Y Q,1.0,5000,.DEBITO,Consumidor Final
2025-06-30 16:21:36,FACTURAS SURTIDAS,4.0,10000,EFECTIVO,Consumidor Final
2025-06-30 16:12:28,MEDIALUNAS,6.0,5400,EFECTIVO,Consumidor Final
2025-06-30 16:10:15,CHIPA,0.25,9000,EFECTIVO,Consumidor Final
2025-06-30 16:08:48,ALMUERZO,1.0,9000,EFECTIVO,Consumidor Final
2025-06-30 16:07:29,PORCION DE TARTA,2.0,30100,EFECTIVO,Consumidor Final
2025-06-30 16:04:30,TARTA GRANDE DULCE HELADERA,2.0,53000,EFECTIVO,Consumidor Final
2025-06-30 16:01:37,CHIPA,0.25,5000,EFECTIVO,Consumidor Final
2025-06-30 15:56:49,RESTOBAR,1.0,20000,EFECTIVO,Consumidor Final
2025-06-30 15:53:57,MEDIALUNAS,4.0,5200,.DEBITO,Consumidor Final
2025-06-30 15:52:34,COOKIE,1.0,7500,EFECTIVO,Consumidor Final
2025-06-30 15:51:41,FACTURAS SURTIDAS,6.0,5400,EFECTIVO,Consumidor Final
2025-06-30 15:50:08,RESTOBAR,1.0,12000,EFECTIVO,Consumidor Final
2025-06-30 15:49:45,RESTOBAR,1.0,11100,EFECTIVO,Consumidor Final
2025-06-30 15:49:05,FACTURAS SURTIDAS,3.0,2700,EFECTIVO,Consumidor Final
2025-06-30 15:47:39,CHIPA,0.25,20600,EFECTIVO,Consumidor Final
2025-06-30 15:45:54,FACTURAS SURTIDAS,12.0,10800,EFECTIVO,Consumidor Final
2025-06-30 15:41:56,ALMOHADON,1.0,21040,.DEBITO,Consumidor Final
2025-06-30 15:35:19,FACTURAS SURTIDAS,12.0,15600,EFECTIVO,Consumidor Final
2025-06-30 15:32:28,FACTURAS SURTIDAS,6.0,27600,EFECTIVO,Consumidor Final
2025-06-30 15:25:41,FACTURAS SURTIDAS,3.0,2700,.DEBITO,Consumidor Final
2025-06-30 15:17:13,CHIPA,0.25,5000,EFECTIVO,Consumidor Final
2025-06-30 15:15:50,ALMUERZO,1.0,41800,.CREDITO,Consumidor Final
2025-06-30 15:14:28,REGALERÌA,1.0,8000,EFECTIVO,Consumidor Final
2025-06-30 15:10:07,CAFE PARA LLEVAR,2.0,8700,.DEBITO,Consumidor Final
2025-06-30 14:59:44,FACTURAS SURTIDAS,12.0,15800,EFECTIVO,Consumidor Final
2025-06-30 14:56:33,FACTURAS SURTIDAS,1.0,2900,EFECTIVO,Consumidor Final
2025-06-30 14:54:46,CHIPA,0.25,10000,EFECTIVO,Consumidor Final
2025-06-30 14:49:39,CHIPA,0.25,5000,EFECTIVO,Consumidor Final
2025-06-30 14:45:05,RESTOBAR,1.0,10000,.DEBITO,Consumidor Final
2025-06-30 14:41:16,ALMUERZO,1.0,26000,.CREDITO,Consumidor Final
2025-06-30 14:40:07,ALMUERZO,1.0,22000,.CREDITO,Consumidor Final
2025-06-30 14:38:09,ALMUERZO,1.0,9000,EFECTIVO,Consumidor Final
2025-06-30 14:36:54,CHIPA,0.5,20800,EFECTIVO,Consumidor Final
2025-06-30 14:30:48,ALMUERZO,1.0,13600,EFECTIVO,Consumidor Final
2025-06-30 14:26:55,RESTOBAR,1.0,23000,.CREDITO,Consumidor Final
2025-06-30 14:25:35,PORCIÒN DULCE HELADERA/ IMPERIALITO,1.0,7000,.DEBITO,Consumidor Final
2025-06-30 14:21:41,"SANDWICH TRIPLE DE J, Q Y SURTIDO",3.0,5100,EFECTIVO,Consumidor Final
2025-06-30 14:19:57,ALMUERZO,1.0,22000,EFECTIVO,Consumidor Final
2025-06-30 14:13:46,RESTOBAR,1.0,37200,EFECTIVO,Consumidor Final
2025-06-30 14:03:04,CONFITURA X KG,0.19,4560,EFECTIVO,Consumidor Final
2025-06-30 14:01:40,MOSTRADOR ENSALADAS,1.0,12400,EFECTIVO,Consumidor Final
2025-06-30 13:59:30,MOSTRADOR EMPANADAS,5.0,7500,EFECTIVO,Consumidor Final
2025-06-30 13:55:12,PASTEL GRANDE,1.0,1600,.DEBITO,Consumidor Final
2025-06-30 13:54:29,FROLA/ COCO CUADRADITO,1.0,7500,.DEBITO,Consumidor Final
2025-06-30 13:53:53,ALMUERZO,1.0,25100,.DEBITO,Consumidor Final
2025-06-30 13:53:20,CHIPA,0.25,10200,EFECTIVO,Consumidor Final
2025-06-30 13:50:59,CONFITURA X KG,0.24,5760,EFECTIVO,Consumidor Final
2025-06-30 13:50:16,ALMUERZO,1.0,9000,EFECTIVO,Consumidor Final
2025-06-30 13:46:06,ALMUERZO,1.0,30000,.CREDITO,Consumidor Final
2025-06-30 13:43:17,ALMUERZO,1.0,20000,EFECTIVO,Consumidor Final
2025-06-30 13:42:26,ALMUERZO,1.0,10000,EFECTIVO,Consumidor Final
2025-06-30 13:41:27,SANDWICH PBT J Y Q/ S Y Q,1.0,14000,EFECTIVO,Consumidor Final
2025-06-30 13:40:46,FILO/FOSFORITO/ ROLL DE CANELA,1.0,2500,EFECTIVO,Consumidor Final
2025-06-30 13:39:54,SANDWICH PBT MIL / TERNERA / POLLO,1.0,8000,EFECTIVO,Consumidor Final
2025-06-30 13:38:19,FILO/FOSFORITO/ ROLL DE CANELA,1.0,7500,EFECTIVO,Consumidor Final
2025-06-30 13:37:00,CHIPA,0.25,6400,EFECTIVO,Consumidor Final
2025-06-30 13:34:57,PAN MIGNON NEGRO/ PETIT/ FUGAZAS,0.15,780,EFECTIVO,Consumidor Final
2025-06-30 13:33:38,ALMUERZO,1.0,10000,.CREDITO,Consumidor Final
2025-06-30 13:32:44,PORCION DE TARTA,1.0,10000,EFECTIVO,Consumidor Final
2025-06-30 13:31:03,ALMUERZO,1.0,9000,EFECTIVO,Consumidor Final
2025-06-30 13:29:46,SANDWICH PBT J Y Q/ S Y Q,1.0,6000,.DEBITO,Consumidor Final
2025-06-30 13:28:16,FILO/FOSFORITO/ ROLL DE CANELA,1.0,12500,.DEBITO,Consumidor Final
2025-06-30 13:27:36,PAN MIGNON BLANCO,0.5,2000,EFECTIVO,Consumidor Final
2025-06-30 13:20:43,PAN MIGNON BLANCO,0.15,600,EFECTIVO,Consumidor Final
2025-06-30 13:19:47,BUDIN INDIVIDUAL,1.0,21000,EFECTIVO,Consumidor Final
2025-06-30 13:16:57,ALMUERZO,1.0,10000,EFECTIVO,Consumidor Final
2025-06-30 13:10:25,MOSTRADOR EMPANADAS,3.0,4500,EFECTIVO,Consumidor Final
2025-06-30 13:08:05,PASTEL CHICO,0.25,6000,EFECTIVO,Consumidor Final
2025-06-30 13:01:28,MOSTRADOR TARTAS SALADA S/T,1.0,8000,EFECTIVO,Consumidor Final
2025-06-30 12:57:52,ALMUERZO,1.0,10000,.DEBITO,Consumidor Final
2025-06-30 12:53:50,MOSTRADOR EMPANADAS,3.0,4500,EFECTIVO,Consumidor Final
2025-06-30 12:49:34,RESTOBAR,1.0,5900,EFECTIVO,Consumidor Final
2025-06-30 12:49:15,RESTOBAR,1.0,11800,EFECTIVO,Consumidor Final
2025-06-30 12:46:44,MOSTRADOR TARTAS SALADA S/T,1.0,8000,EFECTIVO,Consumidor Final
2025-06-30 12:45:35,CAFE PARA LLEVAR,1.0,6000,EFECTIVO,Consumidor Final
2025-06-30 12:43:12,SANDWICH PBT J Y Q/ S Y Q,1.0,6000,EFECTIVO,Consumidor Final
2025-06-30 12:42:42,MEDIALUNAS,12.0,10800,EFECTIVO,Consumidor Final
2025-06-30 12:41:45,ALMUERZO,2.0,51000,.DEBITO,Consumidor Final
2025-06-30 12:38:15,COOKIE,1.0,11400,.CREDITO,Consumidor Final
2025-06-30 12:35:33,FROLA /COCO REDONDA CHICA,1.0,15000,.DEBITO,Consumidor Final
2025-06-30 12:31:57,CHIPA,0.25,10100,EFECTIVO,Consumidor Final
2025-06-30 12:28:45,FILO/FOSFORITO/ ROLL DE CANELA,2.0,29000,EFECTIVO,Consumidor Final
2025-06-30 12:24:07,alfajor y conitos por uniidad,1.0,14000,EFECTIVO,Consumidor Final
2025-06-30 12:19:56,SANDWICH CROISSANT GR J Y Q,1.0,5000,EFECTIVO,Consumidor Final
2025-06-30 12:18:57,CAFE PARA LLEVAR,2.0,6000,EFECTIVO,Consumidor Final
2025-06-30 12:16:34,BUDIN INDIVIDUAL,1.0,6000,EFECTIVO,Consumidor Final
2025-06-30 12:15:30,BIZCOCHITOS/CRIOLLITOS,0.25,3500,EFECTIVO,Consumidor Final
2025-06-30 12:14:03,ALMUERZO,1.0,9000,EFECTIVO,Consumidor Final
2025-06-30 12:12:32,ALMUERZO,1.0,25000,.CREDITO,Consumidor Final
2025-06-30 12:09:11,ALMUERZO,1.0,10000,EFECTIVO,Consumidor Final
2025-06-30 11:50:28,BUDiN ESPECIAL,1.0,15000,.CREDITO,Consumidor Final
2025-06-30 11:31:44,MOSTRADOR TARTAS SALADA S/T,1.0,8000,.DEBITO,Consumidor Final
2025-06-30 11:27:19,ALMUERZO,1.0,91300,.DEBITO,Consumidor Final
2025-06-30 11:18:47,FACTURAS SURTIDAS,4.0,8100,EFECTIVO,Consumidor Final
2025-06-30 11:16:59,COOKIE,1.0,8400,EFECTIVO,Consumidor Final
2025-06-30 11:13:05,PAN MIGNON NEGRO/ PETIT/ FUGAZAS,0.5,2600,EFECTIVO,Consumidor Final
2025-06-30 11:10:51,ALMUERZO,1.0,36000,.DEBITO,Consumidor Final
2025-06-30 11:04:24,FACTURAS SURTIDAS,3.0,4300,.DEBITO,Consumidor Final
2025-06-30 11:02:41,BIZCOCHITOS/CRIOLLITOS,0.25,14300,EFECTIVO,Consumidor Final
2025-06-30 10:54:05,GRISINES / SEMOLADAS,0.25,3800,EFECTIVO,Consumidor Final
2025-06-30 10:52:31,TARTA CHICA DULCE HELADERA,1.0,36000,.DEBITO,Consumidor Final
2025-06-30 10:47:58,ALMUERZO,1.0,6000,EFECTIVO,Consumidor Final
2025-06-30 10:33:04,RESTOBAR,1.0,19000,.CREDITO,Consumidor Final
2025-06-30 10:29:05,TARTA GRANDE DULCE HELADERA,2.0,48000,EFECTIVO,Consumidor Final
2025-06-30 10:25:43,ALMUERZO,1.0,23600,EFECTIVO,Consumidor Final
2025-06-30 10:22:40,DESAYUNO,1.0,49800,EFECTIVO,Consumidor Final
2025-06-30 10:16:12,ALMUERZO,1.0,14000,EFECTIVO,Consumidor Final
2025-06-30 10:14:31,MASAS FINAS POR KL,1.0,14500,EFECTIVO,Consumidor Final
2025-06-30 10:12:44,TARTA MEDIANA DULCE HELADERA,2.0,36000,.DEBITO,Consumidor Final
2025-06-30 10:03:05,MEDIALUNAS,1.0,5400,EFECTIVO,Consumidor Final
2025-06-30 09:57:12,RESTOBAR,1.0,6000,EFECTIVO,Consumidor Final
2025-06-30 09:44:55,MEDIALUNAS,1.0,22400,EFECTIVO,Consumidor Final
2025-06-30 09:40:37,RESTOBAR,1.0,17400,EFECTIVO,Consumidor Final
2025-06-30 09:34:28,RESTOBAR,1.0,12400,.CREDITO,Consumidor Final
2025-06-30 09:33:55,RESTOBAR,1.0,9000,EFECTIVO,Consumidor Final
2025-06-30 09:14:51,MEDIALUNAS,1.0,2700,EFECTIVO,Consumidor Final
2025-06-30 09:13:49,RESTOBAR,1.0,6000,EFECTIVO,Consumidor Final
2025-06-30 09:12:14,TORTA POR KL,1.0,25000,EFECTIVO,Consumidor Final
2025-06-30 08:40:09,MEDIALUNAS,8.0,7200,EFECTIVO,Consumidor Final
2025-06-30 08:23:23,MEDIALUNAS,1.0,3500,EFECTIVO,Consumidor Final
2025-06-28 20:01:04,"SANDWICH TRIPLE DE J, Q Y SURTIDO",10.0,17000,EFECTIVO,Consumidor Final
2025-06-28 19:56:15,confitura bandeja,2.0,14000,EFECTIVO,Consumidor Final
2025-06-28 19:38:54,POSTRE CHEESCAKE,1.0,21200,EFECTIVO,Consumidor Final
2025-06-28 19:35:47,BOMBONES CHOCOLATE ARTESANAL POR KL,0.11,66600,EFECTIVO,Consumidor Final
2025-06-28 19:20:10,TARTA CHICA DULCE HELADERA,1.0,36000,EFECTIVO,Consumidor Final
2025-06-28 19:04:48,RESTOBAR,1.0,22500,.CREDITO,Consumidor Final
2025-06-28 18:39:54,FACTURAS SURTIDAS,6.0,14700,EFECTIVO,Consumidor Final
2025-06-28 18:37:19,FILO/FOSFORITO/ ROLL DE CANELA,1.0,12000,EFECTIVO,Consumidor Final
2025-06-28 18:32:29,"SANDWICH TRIPLE DE J, Q Y SURTIDO",12.0,20400,EFECTIVO,Consumidor Final
2025-06-28 18:29:51,REGALERIA VARIOS,1.0,10000,EFECTIVO,Consumidor Final
2025-06-28 18:21:04,RESTOBAR,1.0,10700,.DEBITO,Consumidor Final
2025-06-28 18:16:24,RESTOBAR,1.0,52500,.DEBITO,Consumidor Final
2025-06-28 18:13:01,FACTURAS SURTIDAS,8.0,7200,EFECTIVO,Consumidor Final
2025-06-28 18:11:09,ALMUERZO,1.0,17000,.DEBITO,Consumidor Final
2025-06-28 18:10:35,ALMUERZO,1.0,22200,EFECTIVO,Consumidor Final
2025-06-28 18:01:39,BOCADITO CALIENTE/ EMPANADITA,20.0,83200,.DEBITO,Consumidor Final
2025-06-28 17:54:24,BIZCOCHITOS/CRIOLLITOS,0.25,15900,EFECTIVO,Consumidor Final
2025-06-28 17:51:55,MASAS SECAS / PALMERITAS,0.5,14000,EFECTIVO,Consumidor Final
2025-06-28 17:51:08,FACTURAS SURTIDAS,2.0,1800,.DEBITO,Consumidor Final
2025-06-28 17:44:18,FACTURAS SURTIDAS,3.0,2700,EFECTIVO,Consumidor Final
2025-06-28 17:42:45,FACTURAS SURTIDAS,4.0,3600,EFECTIVO,Consumidor Final
2025-06-28 17:38:13,BUDiN ESPECIAL,1.0,22000,.CREDITO,Consumidor Final
2025-06-28 17:31:29,confitura bandeja,2.0,14000,.CREDITO,Consumidor Final
2025-06-28 17:27:43,COOKIE,1.0,5000,EFECTIVO,Consumidor Final
2025-06-28 17:27:06,FACTURAS SURTIDAS,2.0,1800,EFECTIVO,Consumidor Final
2025-06-28 17:25:52,FACTURAS SURTIDAS,12.0,10800,EFECTIVO,Consumidor Final
2025-06-28 17:19:13,BIZCOCHITOS/CRIOLLITOS,0.5,21000,EFECTIVO,Consumidor Final
2025-06-28 17:11:42,FACTURAS SURTIDAS,12.0,10800,EFECTIVO,Consumidor Final
2025-06-28 17:00:05,"SANDWICH TRIPLE DE J, Q Y SURTIDO",18.0,30600,EFECTIVO,Consumidor Final
2025-06-28 16:58:15,CHIPA,0.25,12000,EFECTIVO,Consumidor Final
2025-06-28 16:52:31,ALMUERZO,1.0,10000,EFECTIVO,Consumidor Final
2025-06-28 16:51:14,CONFITURA X KG,0.23,15520,EFECTIVO,Consumidor Final
2025-06-28 16:49:12,saldo pedido,1.0,95000,.DEBITO,Consumidor Final
2025-06-28 16:45:57,BUDiN HAMBURGUES/ INGLES,1.0,24000,EFECTIVO,Consumidor Final
2025-06-28 16:44:06,FACTURAS SURTIDAS,6.0,5400,EFECTIVO,Consumidor Final
2025-06-28 16:43:29,PASTEL CHICO,0.5,12000,EFECTIVO,Consumidor Final
2025-06-28 16:42:43,FACTURAS SURTIDAS,4.0,7600,EFECTIVO,Consumidor Final
2025-06-28 16:41:18,FROLA / COCO REDONDA GRANDE,1.0,56400,.DEBITO,Consumidor Final
2025-06-28 16:35:59,BOMBONES CHOCOLATE ARTESANAL POR KL,0.13,31200,EFECTIVO,Consumidor Final
2025-06-28 16:33:34,CHIPA,0.25,6800,EFECTIVO,Consumidor Final
2025-06-28 16:31:33,MILHOJAS / BROWNIE/ CUADRADO FR,1.0,12000,EFECTIVO,Consumidor Final
2025-06-28 16:27:12,FACTURAS SURTIDAS,6.0,89700,EFECTIVO,Consumidor Final
2025-06-28 16:19:41,TARTA CHICA DULCE HELADERA,1.0,12000,EFECTIVO,Consumidor Final
2025-06-28 16:17:41,FACTURAS SURTIDAS,8.0,7200,.DEBITO,Consumidor Final
2025-06-28 16:15:15,FACTURAS SURTIDAS,3.0,19140,EFECTIVO,Consumidor Final
2025-06-28 16:11:51,MASAS FINAS POR KL,1.1,35800,.DEBITO,Consumidor Final
2025-06-28 16:06:52,PAN MIGNON NEGRO/ PETIT/ FUGAZAS,0.25,1300,EFECTIVO,Consumidor Final
2025-06-28 16:05:25,FACTURAS SURTIDAS,8.0,22900,.DEBITO,Consumidor Final
2025-06-28 15:54:56,FACTURAS SURTIDAS,12.0,10800,.DEBITO,Consumidor Final
2025-06-28 15:51:20,CHIPA,0.15,11900,.DEBITO,Consumidor Final
2025-06-28 15:49:06,SCON DE QUESO,4.0,8000,EFECTIVO,Consumidor Final
